ID, 素数
547, 8731
548, 6947
549, 5519
550, 163
551, 521
552, 9803
553, 1237
554, 1951
555, 4093
556, 6949
557, 2309
558, 3023
559, 5521
560, 9091
561, 523
562, 8377
563, 881
564, 5879
565, 4451
566, 7307
567, 1597
568, 2311
569, 167
570, 883
571, 5167
572, 5881
573, 7309
574, 8737
575, 2671
576, 4099
577, 1601
578, 7669
579, 5527
580, 4813
581, 887
582, 9811
583, 5171
584, 4457
585, 6599
586, 8741
587, 173
588, 3389
589, 7673
590, 6959
591, 5531
592, 4817
593, 8387
594, 1249
595, 2677
596, 3391
597, 1607
598, 6961
599, 6247
600, 9103
601, 8389
602, 9817
603, 4463
604, 9461
605, 8747
606, 1609
607, 3037
608, 179
609, 5179
610, 7321
611, 6607
612, 9463
613, 181
614, 2683
615, 4111
616, 1613
617, 3041
618, 7681
619, 6967
620, 541
621, 9109
622, 5897
623, 8039
624, 9467
625, 8753
626, 1973
627, 1259
628, 2687
629, 6971
630, 6257
631, 2689
632, 1619
633, 2333
634, 3761
635, 7687
636, 4831
637, 547
638, 9829
639, 5189
640, 5903
641, 7331
642, 9473
643, 1621
644, 191
645, 3049
646, 907
647, 1979
648, 2693
649, 7333
650, 3407
651, 6619
652, 8761
653, 193
654, 7691
655, 6977
656, 6263
657, 9833
658, 2339
659, 3767
660, 911
661, 4481
662, 9479
663, 1627
664, 197
665, 2341
666, 3769
667, 2699
668, 5197
669, 4483
670, 8053
671, 3413
672, 4127
673, 199
674, 6983
675, 6269
676, 557
677, 1987
678, 9839
679, 4129
680, 7699
681, 6271
682, 5557
683, 9127
684, 2347
685, 3061
686, 919
687, 1277
688, 8059
689, 4133
690, 7703
691, 563
692, 1993
693, 1279
694, 2707
695, 1637
696, 2351
697, 3779
698, 6991
699, 5563
700, 9133
701, 8419
702, 4493
703, 7349
704, 9491
705, 3067
706, 1997
707, 1283
708, 2711
709, 5209
710, 5923
711, 7351
712, 6637
713, 4139
714, 211
715, 8779
716, 569
717, 1999
718, 9137
719, 8423
720, 9851
721, 2713
722, 2357
723, 6997
724, 571
725, 929
726, 5569
727, 5927
728, 8069
729, 9497
730, 8783
731, 1289
732, 2003
733, 7001
734, 6287
735, 5573
736, 1291
737, 8429
738, 9857
739, 2719
740, 3433
741, 577
742, 7717
743, 4861
744, 8431
745, 9859
746, 3793
747, 3079
748, 937
749, 4507
750, 223
751, 2011
752, 1297
753, 4153
754, 3797
755, 3083
756, 941
757, 7723
758, 5581
759, 9151
760, 5939
761, 8081
762, 1657
763, 6653
764, 227
765, 2371
766, 1301
767, 2729
768, 5227
769, 4513
770, 7369
771, 4157
772, 229
773, 9511
774, 587
775, 7727
776, 7013
777, 6299
778, 2017
779, 4871
780, 1303
781, 2731
782, 4159
783, 3803
784, 3089
785, 947
786, 6301
787, 9157
788, 8443
789, 9871
790, 5231
791, 4517
792, 8087
793, 1663
794, 6659
795, 233
796, 2377
797, 1307
798, 3449
799, 5233
800, 4519
801, 8089
802, 6661
803, 593
804, 8803
805, 7019
806, 5591
807, 4877
808, 9161
809, 8447
810, 1667
811, 2381
812, 953
813, 5237
814, 4523
815, 1669
816, 8093
817, 239
818, 9521
819, 2383
820, 8807
821, 2027
822, 2741
823, 5953
824, 241
825, 599
826, 6311
827, 2029
828, 3457
829, 601
830, 7741
831, 7027
832, 9883
833, 2389
834, 1319
835, 3461
836, 8101
837, 6673
838, 6317
839, 1321
840, 4889
841, 9173
842, 9887
843, 2749
844, 3463
845, 4177
846, 2393
847, 3821
848, 607
849, 8461
850, 251
851, 3823
852, 3109
853, 0
854, 8819
855, 2039
856, 2753
857, 3467
858, 7393
859, 6679
860, 8821
861, 6323
862, 1327
863, 3469
864, 2399
865, 613
866, 971
867, 7753
868, 7039
869, 9181
870, 8467
871, 257
872, 8111
873, 9539
874, 617
875, 7757
876, 7043
877, 6329
878, 3833
879, 619
880, 977
881, 3119
882, 7759
883, 4903
884, 9187
885, 9901
886, 1693
887, 4547
888, 5261
889, 263
890, 8117
891, 6689
892, 3121
893, 8831
894, 4549
895, 6691
896, 9547
897, 2053
898, 2767
899, 1697
900, 2411
901, 983
902, 6337
903, 5623
904, 4909
905, 9907
906, 1699
907, 5981
908, 269
909, 8123
910, 9551
911, 8837
912, 271
913, 7411
914, 8839
915, 631
916, 2417
917, 4201
918, 6343
919, 7057
920, 9199
921, 5273
922, 5987
923, 991
924, 3847
925, 6701
926, 2063
927, 2777
928, 3491
929, 277
930, 4561
931, 7417
932, 6703
933, 4919
934, 9203
935, 1709
936, 2423
937, 3851
938, 3137
939, 281
940, 5279
941, 997
942, 3853
943, 2069
944, 8849
945, 283
946, 4567
947, 5281
948, 641
949, 4211
950, 6709
951, 6353
952, 5639
953, 3499
954, 9209
955, 9923
956, 643
957, 7069
958, 5641
959, 1361
960, 2789
961, 647
962, 4217
963, 6359
964, 4931
965, 2791
966, 1721
967, 8501
968, 9929
969, 3863
970, 4219
971, 7789
972, 6361
973, 5647
974, 4933
975, 1723
976, 9931
977, 293
978, 7433
979, 1009
980, 8147
981, 2437
982, 6719
983, 2081
984, 1367
985, 8861
986, 6007
987, 653
988, 2083
989, 8863
990, 7793
991, 7079
992, 5651
993, 4937
994, 2797
995, 3511
996, 9221
997, 1013
998, 2441
999, 6367
1000, 5653
1001, 4583
1002, 6011
1003, 5297
1004, 1373
1005, 2087
1006, 8867
1007, 2801
1008, 659
1009, 4229
1010, 2089
1011, 5657
1012, 4943
1013, 2803
1014, 3517
1015, 1733
1016, 9227
1017, 8513
1018, 9941
1019, 1019
1020, 661
